kitchen_status,listing_count,avg_rent_eur,avg_price_per_sqm,avg_size_sqm,avg_rooms
With fitted kitchen (Einbauküche),6134,1336.53,16.17,86.2,2.6
Without fitted kitchen,4235,878.5,11.76,74.2,2.5
